"Species_names","mean_sex_ratio","SD_sex_ratio","mean_humidity_sp","SD_humidity_sp","mean_temp_sp","SD_temp_sp","taxa.search_string","taxa.unique_name","taxa.approximate_match","taxa.score","taxa.ott_id","taxa.is_synonym","taxa.flags","taxa.number_matches"
"Aldabrachelys gigantea",0.39570758,0.1588695,0.9000000,NA,30.00000,NA,aldabrachelys gigantea,Aldabrachelys gigantea,FALSE, 1,  93887,FALSE,, 1
"Astrochelys radiata",0.08986244,0.1420310,NA,NA,29.45000,0.6350853,astrochelys radiata,Astrochelys radiata,FALSE, 1, 859767,FALSE,, 1
"Astrochelys yniphora",0.50000000,0.5000000,NA,NA,NA,NA,astrochelys yniphora,Astrochelys yniphora,FALSE, 1, 940487,FALSE,, 1
"Batagur affinis",0.52666667,0.4559077,NA,NA,29.50000,2.7838822,batagur affinis,Batagur affinis,FALSE, 1, 154908,FALSE,, 1
"Batagur baska",0.45747126,0.4700461,NA,NA,28.50000,2.1213203,batagur baska,Batagur baska,FALSE, 1, 361285,FALSE,, 1
"Batagur borneoensis",0.46831797,0.5009521,NA,NA,29.94571,2.1699375,batagur borneoensis,Batagur borneoensis,FALSE, 1, 340373,FALSE,, 1
"Caretta caretta",0.36778447,0.3791775,0.9301579,0.05908963,29.29343,1.7728304,caretta caretta,Caretta caretta,FALSE, 1, 392505,FALSE,, 1
"Carettochelys insculpta",0.50677461,0.4591500,NA,NA,31.03917,1.8573317,carettochelys insculpta,Carettochelys insculpta,FALSE, 1, 810244,FALSE,, 1
"Centrochelys sulcata",0.56544118,0.4975095,NA,NA,30.50000,1.5811388,centrochelys sulcata,Centrochelys sulcata,FALSE, 1,1050325,FALSE,, 1
"Chelonia mydas",0.40286036,0.4159255,0.8750000,0.00000000,29.39481,1.6767198,chelonia mydas,Chelonia mydas,FALSE, 1, 559133,FALSE,, 1
"Chelonoidis carbonarius",0.29777778,0.4203467,NA,NA,27.60000,2.5758494,chelonoidis carbonarius,Chelonoidis carbonarius,FALSE, 1, 560352,FALSE,, 1
"Chelonoidis niger",0.62121212,0.4071221,NA,NA,27.50000,2.8284271,chelonoidis niger,Chelonoidis niger,FALSE, 1, 284917,FALSE,, 1
"Chelydra rossignonii",0.23347319,0.3528881,NA,NA,27.80000,1.9235384,chelydra rossignonii,Chelydra rossignonii,FALSE, 1, 420313,FALSE,, 2
"Chelydra serpentina",0.44477123,0.3799771,NA,NA,25.90080,2.6147806,chelydra serpentina,Chelydra serpentina,FALSE, 1, 587311,FALSE,, 1
"Chersobius signatus",0.40000000,0.5477226,NA,NA,29.25000,0.5000000,chersobius signatus,Chersobius signatus,FALSE, 1, 777390,FALSE,, 1
