"Species_names","mean_sex_ratio","SD_sex_ratio","mean_humidity_sp","SD_humidity_sp","mean_temp_sp","SD_temp_sp"
"Aldabrachelys gigantea",0.395707576666667,0.158869464321124,0.9,NA,30,NA
"Astrochelys radiata",0.08986244025,0.142031018902711,NA,NA,29.45,0.635085296108589
"Astrochelys yniphora",0.5,0.5,NA,NA,NA,NA
"Batagur affinis",0.5266666667,0.45590772296839,NA,NA,29.5,2.78388218141501
"Batagur baska",0.457471264333333,0.470046084413237,NA,NA,28.5,2.12132034355964
"Batagur borneoensis",0.468317972375,0.500952076120573,NA,NA,29.9457142857143,2.16993745795324
"Caretta caretta",0.367784468915323,0.379177475525055,0.930157894736842,0.0590896335690249,29.293431372549,1.77283037297436
"Carettochelys insculpta",0.506774611774194,0.459149985068814,NA,NA,31.0391666666667,1.85733170451755
"Centrochelys sulcata",0.5654411764,0.497509476322391,NA,NA,30.5,1.58113883008419
"Chelonia mydas",0.402860356564132,0.415925471022439,0.875,0,29.3948138475212,1.67671981902772
"Chelonoidis carbonarius",0.2977777778,0.420346711724418,NA,NA,27.6,2.57584937447825
"Chelonoidis niger",0.621212121,0.407122086309129,NA,NA,27.5,2.82842712474619
"Chelydra rossignonii",0.2334731934,0.352888101668199,NA,NA,27.8,1.92353840616713
"Chelydra serpentina",0.444771233252894,0.379977119768312,NA,NA,25.9008014059754,2.61478058169716
"Chersobius signatus",0.4,0.547722557505166,NA,NA,29.25,0.5
"Chitra chitra",0.7,0.280211560419253,NA,NA,NA,NA
"Chrysemys dorsalis",0.403875899,0.464889340587915,NA,NA,27.2125,2.80092246709306
"Chrysemys picta",0.537404507042986,0.392055372955607,NA,NA,27.3828125,2.25834487470516
"Clemmys guttata",0.671889892363636,0.356653978132216,NA,NA,26.0909090909091,2.61551316014833
"Cuora flavomarginata",0.4389267932,0.436791570930913,NA,NA,27.75,2.21735578260835
"Cuora trifasciata",0.5957894736,0.543946795433915,0.875,0,28,2.61406452355969
"Cuora zhoui",0,0,NA,NA,27,0
"Deirochelys reticularia",0.6680025063,0.43260206925849,NA,NA,27.5,2.46080384337223
"Dermatemys mawii",0.481481481333333,0.501027750330082,NA,NA,27.3333333333333,2.08166599946613
"Dermochelys coriacea",0.444792810824242,0.452007558752168,NA,NA,29.2885714285714,1.38948239428998
"Emys blandingii",0.593220339,0.541710400506003,NA,NA,27,3.51781181986757
"Emys marmorata",0.544007155666667,0.41272094385772,NA,NA,28.3433333333333,1.83136041029093
"Emys orbicularis",0.479254218602941,0.408906421740405,0.95,0,28.2139705882353,1.95747088504407
"Eretmochelys imbricata",0.282244375521429,0.40357613400714,NA,NA,29.9395774647887,1.47639177593765
"Erymnochelys madagascariensis",0.25,NA,NA,NA,NA,NA
"Geochelone elegans",0.333333333,NA,0.75,NA,31.5,NA
"Geochelone platynota",0.7089285715,0.270215805566701,NA,NA,29.45,0.777817459305203
"Gopherus agassizii",0.48446807177551,0.433025665012863,1,NA,30.15625,2.97275825903599
"Gopherus polyphemus",0.437179487153846,0.373573804101379,NA,NA,29.7,2.62678510731274
"Graptemys barbouri",0.5,0.577350269189626,NA,NA,28,2.16024689946929
"Graptemys caglei",0.7238095238,0.416019906193041,NA,NA,28.6,1.71026313764871
"Graptemys geographica",0.503572929769231,0.488186692986454,NA,NA,28,3.15348132140408
"Graptemys nigrinoda",0.5,0.707106781186548,NA,NA,27.5,3.53553390593274
"Graptemys ouachitensis",0.648961005708333,0.427579633305959,NA,NA,28.0444444444444,1.82956832652894
"Graptemys pseudogeographica",0.445800307108108,0.46334857725214,NA,NA,28.35,2.00880636953964
"Graptemys pseudogeographica/ouachitensis",0.627753978,0.448721770132636,NA,NA,29,4.24264068711928
"Graptemys pseudogeographica/ouachitensis/geographica",0.4767,0.47067030588524,NA,NA,NA,NA
"Graptemys pulchra",0.333333333333333,0.577350269189626,NA,NA,29,1
"Graptemys versa",0.619047619,0.540848413854296,NA,NA,29,3.60555127546399
"Heosemys depressa",0.2,0.447213595499958,NA,NA,29.22,1.74413302244984
"Heosemys grandis",0.256410256333333,0.444115591551093,NA,NA,27.6666666666667,2.51661147842358
"Homopus femoralis",0.4,NA,NA,NA,NA,NA
"Kinosternon alamosae",0.5555555555,0.501848435168908,NA,NA,26.9166666666667,2.76435646519523
"Kinosternon baurii",0.379926456625,0.276009965903074,NA,NA,26.40625,3.03435193520242
"Kinosternon creaseri",0.254174397142857,0.243727996728915,NA,NA,25.9285714285714,2.28087284879735
"Kinosternon flavescens",0.457697949142857,0.374122291961218,NA,NA,27.7857142857143,2.9135907380775
"Kinosternon hirtipes",0.79166666675,0.385758374750926,NA,NA,26.125,2.93683503111768
"Kinosternon leucostomum",0.313834963277778,0.244578247138571,NA,NA,26.3529411764706,2.51722010535899
"Kinosternon scorpioides",0.578677423071429,0.382794337266731,NA,NA,26.1428571428571,2.49945048905809
"Kinosternon sonoriense",0.564211199285714,0.471127608759393,NA,NA,27.6428571428571,3.17167523708273
"Kinosternon stejnegeri",0.532311670833333,0.379866950523434,NA,NA,28,2.82842712474619
"Kinosternon subrubrum",0.485080489692308,0.353011280042569,NA,NA,25.6923076923077,3.01066480434182
"Lepidochelys kempii",0.261607488234783,0.300745945811889,NA,NA,31.3166666666667,0.711643718168857
"Lepidochelys olivacea",0.544650054208333,0.421666421074831,NA,NA,29.9822857142857,2.3020980798737
"Macrochelys temminckii",0.3099118135,0.298868028281437,NA,NA,26.6052631578947,2.6277311050094
"Malaclemys terrapin",0.571750562774648,0.469904308642619,1,NA,28.2460784313725,2.50465253353145
"Malacochersus tornieri",0.733333333333333,0.432049379893857,NA,NA,28.7833333333333,2.00041662327293
"Malayemys macrocephala",0.509464086482759,0.246613412957917,0.8,0,29,2.68328157299975
"Manouria emys",0.5,0.577350269189626,NA,NA,27.9625,2.47002530351412
"Manouria impressa",0.666666666666667,0.516397779494322,NA,NA,26.8416666666667,1.31621300201247
"Mauremys annamensis",0.6944444445,0.476289672133967,NA,NA,27.1666666666667,2.31660671385254
"Mauremys japonica",0.66768546275,0.410738983144955,0.9,0,26.9583333333333,3.0559802276054
"Mauremys mutica",0.4310507055,0.373735045041638,NA,NA,27.8333333333333,2.69117525301201
"Mauremys nigricans",0.666666666666667,0.577350269189626,NA,NA,27.3333333333333,2.51661147842358
"Mauremys reevesii",0.521917184709677,0.377978996947002,0.82,0,28.4365517241379,2.53415423459762
"Mauremys sinensis",0.441358024666667,0.487767606756825,NA,NA,28.8333333333333,3.06050104830347
"Melanochelys trijuga",0.28680445325,0.257577032747751,NA,NA,26.9,2.17673650637412
"Natator depressus",0.620388263637597,0.464683144568536,NA,NA,29.5536507936508,1.20739198672012
"Pelomedusa subrufa",0.20924680235,0.333269771155012,NA,NA,29.15,3.39155297451586
"Peltocephalus dumerilianus",0.6875,0.164149789095826,NA,NA,30.16,NA
"Pelusios broadleyi",0.3875,0.379967103839267,NA,NA,29,2.34520787991171
"Pelusios castaneus",0.205882353,0.411764706,NA,NA,28.75,3.5
"Podocnemis erythrocephala",0.675,0.375524324812556,NA,NA,28.645,1.63341666454093
"Podocnemis expansa",0.459783071068571,0.331631467270001,0.905573333333333,0.0366643614426871,32.2548253968254,2.22445853172061
"Podocnemis lewyana",0.455473635964286,0.412278204488657,NA,NA,32.35,1.97512306227007
"Podocnemis sextuberculata",0.444345238125,0.335068316470314,NA,NA,31.26,1.18025420990565
"Podocnemis unifilis",0.542014964296296,0.275075586346496,NA,NA,30.3464285714286,1.60461198322982
"Pseudemys concinna",0.5720887635,0.463439744632906,NA,NA,27.2157894736842,3.07702294034975
"Pseudemys floridana",0.559267938,0.481544597485746,NA,NA,27.7142857142857,2.1380899352994
"Pseudemys nelsoni",0.4991776315,0.435540684180555,NA,NA,28.5,1.29099444873581
"Pseudemys texana",0.466666666666667,0.503322295684717,NA,NA,29.3333333333333,1.52752523165195
"Pyxis planicauda",0.348039215647059,0.437981177970158,0.85,0,28.5,NA
"Rhinoclemmys areolata",0.495068027142857,0.419480537431151,NA,NA,27,2.44948974278318
"Rhinoclemmys pulcherrima",0.8125,0.375,NA,NA,26.5,2.64575131106459
"Sternotherus carinatus",0.369237832909091,0.443568320065833,NA,NA,26.5454545454545,2.65004288129971
"Sternotherus minor",0.169225447647059,0.286905382814737,NA,NA,26.6764705882353,3.25931921798186
"Sternotherus odoratus",0.267274367217391,0.363377889478237,NA,NA,26.2869565217391,2.97707976926537
"Stigmochelys pardalis",0.3625,0.444610584026709,NA,NA,29.39375,1.26954364691749
"Terrapene carolina",0.58339791688,0.350837427877496,NA,NA,26.24,2.85087705802969
"Terrapene ornata",0.6,0.547722557505166,NA,NA,25.4,3.52491134640291
"Testudo graeca",0.6701039283,0.412915702129819,0.8,0,29.6125,2.1989851555401
"Testudo hermanni",0.602438384625,0.442075371071274,NA,NA,29.5,3.42782730020052
"Testudo kleinmanni",1,NA,NA,NA,30,NA
"Trachemys callirostris",0.1785185185,0.232960313250432,NA,NA,30.425,1.49080515158756
"Trachemys decorata",0.4444444445,0.501848435168908,NA,NA,28.1666666666667,2.85773803324704
"Trachemys dorbigni",0.707317073170732,0.460646417495262,NA,NA,NA,NA
"Trachemys scripta",0.477647464388959,0.419493824730672,0.796875,0.038595120589698,28.3487521663778,1.42263528303684
"Trachemys venusta",0.3300752251,0.362977055324909,NA,NA,28.3444444444444,1.71180541469461
