"Order","Family","Genus","Species","Mean_Temp","Mean_Temp_SD","Latitude","Longitude","Captive","Humidity","Start_Date","End_Date","Proportion_Male","Proportion_Female"
"Testudines","Testudinidae","Aldabrachelys","Aldabrachelys_gigantea",NA,NA,-9.434025,46.366339,0,NA,1975-06-01,1976-09-01,0.488372093,0.511627907
"Testudines","Testudinidae","Aldabrachelys","Aldabrachelys_gigantea",NA,NA,-9.3773555,46.3578095,0,NA,1975-06-01,1976-09-01,0.486486486,0.513513514
"Testudines","Testudinidae","Aldabrachelys","Aldabrachelys_gigantea",30,NA,-9.4302995,46.363512,1,0.9,NA,NA,0.212264151,0.787735849
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",NA,NA,-24.4213925,45.2127545,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",NA,NA,-24.4213925,45.2127545,1,NA,NA,NA,0.25,0.75
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",NA,NA,-24.4213925,45.2127545,1,NA,NA,NA,0.363636364,0.636363636
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",NA,NA,-24.4213925,45.2127545,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",28.9,NA,-24.4213925,45.2127545,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",28.9,NA,-24.4213925,45.2127545,1,NA,NA,NA,0.105263158,0.894736842
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",30,NA,-24.4213925,45.2127545,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_radiata",30,NA,-24.4213925,45.2127545,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_yniphora",NA,NA,-16.0681845,45.2086825,1,NA,NA,NA,0,1
"Testudines","Testudinidae","Astrochelys","Astrochelys_yniphora",NA,NA,-16.0681845,45.2086825,1,NA,NA,NA,1,0
"Testudines","Testudinidae","Astrochelys","Astrochelys_yniphora",NA,NA,-16.0681845,45.2086825,1,NA,NA,NA,0.5,0.5
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,1,0
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,1,0
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,0,1
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,0.4,0.6
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,0.2,0.8
"Testudines","Geoemydidae","Batagur","Batagur_affinis",NA,NA,4.0818575,101.9939865,1,NA,NA,NA,0.666666667,0.333333333
"Testudines","Geoemydidae","Batagur","Batagur_affinis",27,NA,5.075154,103.0039105,0,NA,NA,NA,1,0
"Testudines","Geoemydidae","Batagur","Batagur_affinis",29,NA,5.075154,103.0039105,0,NA,NA,NA,1,0
