"Order","Family","Genus","Species_names","n"
"Testudines","Carettochelyidae","Carettochelys","Carettochelys insculpta",62
"Testudines","Cheloniidae","Caretta","Caretta caretta",744
"Testudines","Cheloniidae","Chelonia","Chelonia mydas",881
"Testudines","Cheloniidae","Eretmochelys","Eretmochelys imbricata",140
"Testudines","Cheloniidae","Lepidochelys","Lepidochelys kempii",113
"Testudines","Cheloniidae","Lepidochelys","Lepidochelys olivacea",192
"Testudines","Cheloniidae","Natator","Natator depressus",516
"Testudines","Chelydridae","Chelydra","Chelydra rossignonii",5
"Testudines","Chelydridae","Chelydra","Chelydra serpentina",1123
"Testudines","Chelydridae","Macrochelys","Macrochelys temminckii",26
"Testudines","Dermatemydidae","Dermatemys","Dermatemys mawii",3
"Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea",165
"Testudines","Emydidae","Chrysemys","Chrysemys dorsalis",16
"Testudines","Emydidae","Chrysemys","Chrysemys picta",442
"Testudines","Emydidae","Clemmys","Clemmys guttata",11
"Testudines","Emydidae","Deirochelys","Deirochelys reticularia",10
"Testudines","Emydidae","Emys","Emys blandingii",5
"Testudines","Emydidae","Emys","Emys marmorata",15
"Testudines","Emydidae","Emys","Emys orbicularis",204
"Testudines","Emydidae","Graptemys","Graptemys barbouri",4
"Testudines","Emydidae","Graptemys","Graptemys caglei",5
"Testudines","Emydidae","Graptemys","Graptemys geographica",13
"Testudines","Emydidae","Graptemys","Graptemys nigrinoda",2
"Testudines","Emydidae","Graptemys","Graptemys ouachitensis",48
"Testudines","Emydidae","Graptemys","Graptemys pseudogeographica",37
"Testudines","Emydidae","Graptemys","Graptemys pseudogeographica/ouachitensis",4
"Testudines","Emydidae","Graptemys","Graptemys pseudogeographica/ouachitensis/geographica",20
"Testudines","Emydidae","Graptemys","Graptemys pulchra",3
"Testudines","Emydidae","Graptemys","Graptemys versa",3
"Testudines","Emydidae","Malaclemys","Malaclemys terrapin",71
"Testudines","Emydidae","Pseudemys","Pseudemys concinna",24
"Testudines","Emydidae","Pseudemys","Pseudemys floridana",7
"Testudines","Emydidae","Pseudemys","Pseudemys nelsoni",4
"Testudines","Emydidae","Pseudemys","Pseudemys texana",3
"Testudines","Emydidae","Terrapene","Terrapene carolina",25
"Testudines","Emydidae","Terrapene","Terrapene ornata",5
"Testudines","Emydidae","Trachemys","Trachemys callirostris",4
"Testudines","Emydidae","Trachemys","Trachemys decorata",6
"Testudines","Emydidae","Trachemys","Trachemys dorbigni",41
"Testudines","Emydidae","Trachemys","Trachemys scripta",797
"Testudines","Emydidae","Trachemys","Trachemys venusta",10
"Testudines","Geoemydidae","Batagur","Batagur affinis",10
"Testudines","Geoemydidae","Batagur","Batagur baska",3
"Testudines","Geoemydidae","Batagur","Batagur borneoensis",8
"Testudines","Geoemydidae","Cuora","Cuora flavomarginata",5
"Testudines","Geoemydidae","Cuora","Cuora trifasciata",5
"Testudines","Geoemydidae","Cuora","Cuora zhoui",3
"Testudines","Geoemydidae","Heosemys","Heosemys depressa",5
"Testudines","Geoemydidae","Heosemys","Heosemys grandis",3
"Testudines","Geoemydidae","Malayemys","Malayemys macrocephala",29
"Testudines","Geoemydidae","Mauremys","Mauremys annamensis",6
"Testudines","Geoemydidae","Mauremys","Mauremys japonica",11
"Testudines","Geoemydidae","Mauremys","Mauremys mutica",12
"Testudines","Geoemydidae","Mauremys","Mauremys nigricans",3
"Testudines","Geoemydidae","Mauremys","Mauremys reevesii",31
"Testudines","Geoemydidae","Mauremys","Mauremys sinensis",6
"Testudines","Geoemydidae","Melanochelys","Melanochelys trijuga",12
"Testudines","Geoemydidae","Rhinoclemmys","Rhinoclemmys areolata",7
"Testudines","Geoemydidae","Rhinoclemmys","Rhinoclemmys pulcherrima",4
"Testudines","Kinosternidae","Kinosternon","Kinosternon alamosae",6
"Testudines","Kinosternidae","Kinosternon","Kinosternon baurii",16
"Testudines","Kinosternidae","Kinosternon","Kinosternon creaseri",7
